ID,Name,Address,City,State,Zipcode,Phone,Latitude,Longitude,Type,URL
23413,Steak n Shake,2009 Kenyon Road,Urbana,IL,61802,2173443855,40.134,-88.1995,traditional,https://orderonline.steaknshake.com/o/restaurant/18077
23415,Steak n Shake,2100 N. Richmond Rd.,Mchenry,IL,60050,8157599885,42.3556,-88.2665,traditional,https://orderonline.steaknshake.com/o/restaurant/18195
23417,Steak n Shake,6549 Miller Lane,Dayton,OH,45414,9374545913,39.8423,-84.1921,traditional,https://orderonline.steaknshake.com/o/restaurant/18295
23419,Steak n Shake,1211 N. Keller,Effingham,IL,62401,2172100386,39.1374,-88.5649,traditional,https://orderonline.steaknshake.com/o/restaurant/18061
23421,Steak n Shake,3906 South Florida Ave.,Lakeland,FL,33813,8636481440,27.9931,-81.9559,traditional,https://orderonline.steaknshake.com/o/restaurant/18192
23423,Steak n Shake,2101 Liberty Drive,Bloomington,IN,47403,8123397222,39.1464,-86.5774,traditional,https://orderonline.steaknshake.com/o/restaurant/18108
23425,Steak n Shake,2675 N. Plainfield Road,Joliet,IL,60435,8154399145,41.5762,-88.1561,traditional,https://orderonline.steaknshake.com/o/restaurant/18076
23427,Steak n Shake,8115 Red Bug Lake Road,Oviedo,FL,32765,4073665851,28.6559,-81.2387,traditional,https://orderonline.steaknshake.com/o/restaurant/18142
23429,Steak n Shake,10911 New Halls Ferry Road,St. Louis,MO,63136,3142661234,38.7687,-90.2649,traditional,https://orderonline.steaknshake.com/o/restaurant/18049
23431,Steak n Shake,1305 Locke Road,Bourbonnais,IL,60914,8159325600,41.163,-87.8495,traditional,https://orderonline.steaknshake.com/o/restaurant/18062
23433,Steak n Shake,2998 Hwy. K O&#39;fallon Crossing,O&#39;fallon,MO,63366,6362402049,38.7555,-90.6993,traditional,https://orderonline.steaknshake.com/o/restaurant/18127
23435,Steak n Shake,99 Conference Center Drive,East Peoria,IL,61611,3096994331,40.6838,-89.5891,traditional,https://orderonline.steaknshake.com/o/restaurant/17993
23437,Steak n Shake,3229 N. University,Peoria,IL,61604,3096828723,40.7265,-89.6123,traditional,https://orderonline.steaknshake.com/o/restaurant/17997
23439,Steak n Shake,819 E. Memorial Blvd.,Lakeland,FL,33801,8636839352,28.0548,-81.9485,traditional,https://orderonline.steaknshake.com/o/restaurant/18034
23441,Steak n Shake,247 W. Smith Valley Road,Greenwood,IN,46142,3178856474,39.606,-86.1096,traditional,https://orderonline.steaknshake.com/o/restaurant/18097
23443,Steak n Shake,990 S Federal Highway,Hallandale,FL,33009,9544570542,25.9754,-80.1425,traditional,https://orderonline.steaknshake.com/o/restaurant/18319
23445,Steak n Shake,275 E. Army Trail,Glendale Heights,IL,60139,6306710551,41.9362,-88.0774,traditional,https://orderonline.steaknshake.com/o/restaurant/18178
23447,Steak n Shake,7101 W. Colonial Blvd,Orlando,FL,32818,4072976650,28.5526,-81.4782,traditional,https://orderonline.steaknshake.com/o/restaurant/18145
23449,Steak n Shake,1080 El Jobean Rd,Port Charlotte,FL,33948,9412556990,27.0111,-82.1486,traditional,https://orderonline.steaknshake.com/o/restaurant/18158
23451,Steak n Shake,7515 N. Grand Prairie Drive,Peoria,IL,61602,3096937529,40.7791,-89.6766,traditional,https://orderonline.steaknshake.com/o/restaurant/18308
23453,Steak n Shake,3046 Little Road,Trinity,FL,34655,7273728777,28.2041,-82.6658,traditional,https://orderonline.steaknshake.com/o/restaurant/18324
23455,Steak n Shake,8420 Springboro Road,Miamisburg,OH,45342,9374361949,39.6279,-84.2255,traditional,https://orderonline.steaknshake.com/o/restaurant/18163
23457,Steak n Shake,2819c Wilma Rudolph,Clarksville,TN,37040,9319067450,36.5977,-87.2842,traditional,https://orderonline.steaknshake.com/o/restaurant/18173
23459,Steak n Shake,4120 Ellsworth Rd.,Ypsilanti,MI,48197,7345284006,42.23,-83.678,traditional,https://orderonline.steaknshake.com/o/restaurant/18199
23461,Steak n Shake,8101 Dr. Martin Luther King St. N,St Petersburg,FL,33702,7275689169,27.8463,-82.6463,traditional,https://orderonline.steaknshake.com/o/restaurant/18203
23463,Steak n Shake,201 E. Euclid Ave.,Mount Prospect,IL,60056,8473689122,42.0875,-87.9334,traditional,https://orderonline.steaknshake.com/o/restaurant/18216
23465,Steak n Shake,3380 Northside Pkwy,Atlanta,GA,30327,4042627051,33.8468,-84.4297,traditional,https://orderonline.steaknshake.com/o/restaurant/18347
23467,Steak n Shake,"1610 Scenic Highway, SW",Snellville,GA,30078,7709788787,33.8848,-84.01,traditional,https://orderonline.steaknshake.com/o/restaurant/18355
23469,Steak n Shake,9700 S. South Blvd.,Charlotte,NC,28273,7045536344,35.1268,-80.8783,traditional,https://orderonline.steaknshake.com/o/restaurant/18358
23471,Steak n Shake,13800 Lakeside Circle,Sterling Heights,MI,48313,5865328183,42.622,-82.9911,traditional,https://orderonline.steaknshake.com/o/restaurant/18219
23473,Steak n Shake,3615 S. Reed Road,Kokomo,IN,46902,7654539595,40.4453,-86.1238,traditional,https://orderonline.steaknshake.com/o/restaurant/18044
23475,Steak n Shake,3000 Old Boynton Rd.,Boynton Beach,FL,33436,5613695977,26.5312,-80.0938,traditional,https://orderonline.steaknshake.com/o/restaurant/18221
23477,Steak n Shake,1721 NE Pine Island Rd,Cape Coral,FL,33909,2397722357,26.6698,-81.9381,traditional,https://orderonline.steaknshake.com/o/restaurant/18238
23479,Steak n Shake,135 N. Weber Road,Bolingbrook,IL,60440,6307590908,41.6977,-88.1239,traditional,https://orderonline.steaknshake.com/o/restaurant/18249
23481,Steak n Shake,23350 Allen Road,Woodhaven,MI,48183,7346711950,42.1381,-83.2278,traditional,https://orderonline.steaknshake.com/o/restaurant/18255
23483,Steak n Shake,12921 Sheldon Road,Tampa,FL,33626,8137921706,28.0678,-82.5786,traditional,https://orderonline.steaknshake.com/o/restaurant/18262
23485,Steak n Shake,320 W. North Ave.,West Chicago,IL,60185,6305624370,41.9153,-88.212,traditional,https://orderonline.steaknshake.com/o/restaurant/18271
23487,Steak n Shake,4666 Dressler Road,Canton,OH,44718,3304700092,40.8477,-81.435,traditional,https://orderonline.steaknshake.com/o/restaurant/18275
23489,Steak n Shake,6786 Applewood Blvd.,Boardman,OH,44512,3309650753,41.0253,-80.6435,traditional,https://orderonline.steaknshake.com/o/restaurant/18279
23491,Steak n Shake,429 Coit Road,Plano,TX,75075,9727582992,33.0037,-96.7683,traditional,https://orderonline.steaknshake.com/o/restaurant/18303
23493,Steak n Shake,4240 Venture Drive,Peru,IL,61354,8152243111,41.36,-89.1268,traditional,https://orderonline.steaknshake.com/o/restaurant/18080
23495,Steak n Shake,1917 Pipestone Road,Benton Harbor,MI,49022,2699262704,42.0815,-86.4173,traditional,https://orderonline.steaknshake.com/o/restaurant/18098
23497,Steak n Shake,831 Clepper Lane,Cincinnati,OH,45245,5139430990,39.0925,-84.2651,traditional,https://orderonline.steaknshake.com/o/restaurant/18116
23499,Steak n Shake,4325 W. Lake Mary Blvd.,Lake Mary,FL,32746,4073284200,28.7556,-81.3511,traditional,https://orderonline.steaknshake.com/o/restaurant/18137
23501,Steak n Shake,"3396 Cobb Parkway, NW",Acworth,GA,30101,7705296661,34.0362,-84.6853,traditional,https://orderonline.steaknshake.com/o/restaurant/18367
23503,Steak n Shake,151 E. Ashland Street,Morton,IL,61550,3092634210,40.6227,-89.4637,traditional,https://orderonline.steaknshake.com/o/restaurant/18342
23505,Steak n Shake,650 Birk Road,Martinsville,IN,46151,7653521905,39.4189,-86.4086,traditional,https://orderonline.steaknshake.com/o/restaurant/18340
23507,Steak n Shake,790 E. Merritt Isl. Cswy.,Merritt Island,FL,32952,3214530922,28.3574,-80.6839,traditional,https://orderonline.steaknshake.com/o/restaurant/18141
23509,Steak n Shake,5825 Scatterfield Road,Anderson,IN,46013,7656229367,40.056,-85.6535,traditional,https://orderonline.steaknshake.com/o/restaurant/18095
23511,Steak n Shake,3549 North Lindbergh,St. Ann,MO,63074,3147396014,38.7312,-90.4053,traditional,https://orderonline.steaknshake.com/o/restaurant/18013
23513,Steak n Shake,4025 Elkhart Road,Goshen,IN,46526,5748755372,41.621,-85.9021,traditional,https://orderonline.steaknshake.com/o/restaurant/18113
23515,Steak n Shake,1568 West Lane Road,Machesney Park,IL,61115,8156369675,42.3661,-89.0241,traditional,https://orderonline.steaknshake.com/o/restaurant/18312
23517,Steak n Shake,2647 Lawndale Drive,Greensboro,NC,27408,3362868567,36.1076,-79.8197,traditional,https://orderonline.steaknshake.com/o/restaurant/19569
23519,Steak n Shake,883 Vann Drive,Jackson,TN,38305,7315120334,35.6702,-88.8525,traditional,https://orderonline.steaknshake.com/o/restaurant/19574
23521,Steak n Shake,6136 South Memorial Dr.,Tulsa,OK,74133,9182940275,36.0748,-95.8862,traditional,https://orderonline.steaknshake.com/o/restaurant/19578
23523,Steak n Shake,310 Wild Geese Rd,Knoxville,TN,37922,8656752551,35.9087,-84.1247,traditional,https://orderonline.steaknshake.com/o/restaurant/19584
23525,Steak n Shake,950 Market Place Boulevard,Irving,TX,75063,2145745300,32.9175,-96.9606,traditional,https://orderonline.steaknshake.com/o/restaurant/18291
23527,Steak n Shake,7350 Gravois,St. Louis,MO,63116,3143529264,38.5639,-90.2942,traditional,https://orderonline.steaknshake.com/o/restaurant/18020
23529,Steak n Shake,207 N. Anderson Lane,Hendersonville,TN,37075,6152030298,36.3138,-86.5955,traditional,https://orderonline.steaknshake.com/o/restaurant/18380
23531,Steak n Shake,3980 Wedgewood Lane,The Villages,FL,32162,3522054950,28.9278,-82.0285,traditional,https://orderonline.steaknshake.com/o/restaurant/18388
23533,Steak n Shake,2856 Center Drive,Fairborn,OH,45324,9373200621,39.7717,-84.049,traditional,https://orderonline.steaknshake.com/o/restaurant/18134
23535,Steak n Shake,1700 Georgesville Square Dr.,Columbus,OH,43228,6148531667,39.9203,-83.1183,traditional,https://orderonline.steaknshake.com/o/restaurant/18229
23537,Steak n Shake,1567 West Fifth Street,Eureka,MO,63025,6365498200,38.5045,-90.6586,traditional,https://orderonline.steaknshake.com/o/restaurant/18156
23539,Steak n Shake,120 Arnold Crossroads Center,Arnold,MO,63010,6362961891,38.4449,-90.377,traditional,https://orderonline.steaknshake.com/o/restaurant/18050
23541,Steak n Shake,281 University Boulevard,Round Rock,TX,78664,5125246012,30.5582,-97.6924,traditional,https://orderonline.steaknshake.com/o/restaurant/19556
23543,Steak n Shake,503 W. Main Street,Branson,MO,65616,4173365303,36.6442,-93.2221,traditional,https://orderonline.steaknshake.com/o/restaurant/19535
23545,Steak n Shake,1550 S. Glenstone,Springfield,MO,65804,4178870906,37.1865,-93.2619,traditional,https://orderonline.steaknshake.com/o/restaurant/19537
23547,Steak n Shake,3755 S. Campbell,Springfield,MO,65807,4178827164,37.1467,-93.296,traditional,https://orderonline.steaknshake.com/o/restaurant/19539
23549,Steak n Shake,1160 Rye Lane,Lebanon,MO,65536,4175322795,37.6702,-92.6508,traditional,https://orderonline.steaknshake.com/o/restaurant/19542
23551,Steak n Shake,4211 Conestoga Drive,Springfield,IL,62707,2176989439,39.7405,-89.7023,traditional,https://orderonline.steaknshake.com/o/restaurant/19548
23553,Steak n Shake,3004 Clark Lane,Columbia,MO,65202,5738868535,38.9631,-92.293,traditional,https://orderonline.steaknshake.com/o/restaurant/19559
23555,Steak n Shake,5828 South Lindbergh,St. Louis,MO,63123,3148433120,38.5229,-90.3475,traditional,https://orderonline.steaknshake.com/o/restaurant/18023
23557,Steak n Shake,7310 South Lindbergh,St. Louis,MO,63125,3144874144,38.5065,-90.3282,traditional,https://orderonline.steaknshake.com/o/restaurant/18026
23559,Steak n Shake,2720 Spring Ave. S.w.,Decatur,AL,35603,2563410112,34.5579,-86.9997,traditional,https://orderonline.steaknshake.com/o/restaurant/18269
23561,Steak n Shake,7510 West 63rd Street,Overland Park,KS,66202,9132621800,39.016,-94.6731,traditional,https://orderonline.steaknshake.com/o/restaurant/19587
23563,Steak n Shake,635 E. Carmel Drive,Carmel,IN,46032,3178443936,39.9621,-86.1152,traditional,https://orderonline.steaknshake.com/o/restaurant/18010
23565,Steak n Shake,9770 Montgomery Road,Cincinnati,OH,45242,5139841202,39.2333,-84.3506,traditional,https://orderonline.steaknshake.com/o/restaurant/18038
23567,Steak n Shake,11470 Princeton Pike,Cincinnati,OH,45246,5132751142,39.2865,-84.4659,traditional,https://orderonline.steaknshake.com/o/restaurant/18039
23569,Steak n Shake,1365 E. Main,Carbondale,IL,62901,6184572187,37.7333,-89.187,traditional,https://orderonline.steaknshake.com/o/restaurant/18072
23571,Steak n Shake,6208 Cambridge Way,Plainfield,IN,46168,3178380280,39.6706,-86.3698,traditional,https://orderonline.steaknshake.com/o/restaurant/18117
23573,Steak n Shake,1485 West Main,Hamilton,OH,45013,5132751149,39.4244,-84.595,traditional,https://orderonline.steaknshake.com/o/restaurant/18130
23575,Steak n Shake,10181 Colerain Ave.,Cincinnati,OH,45251,5133702014,39.2576,-84.6017,traditional,https://orderonline.steaknshake.com/o/restaurant/18190
23577,Steak n Shake,4830 Crossings Court,Fredericksburg,VA,22407,5408988898,38.2356,-77.501,traditional,https://orderonline.steaknshake.com/o/restaurant/19612
23579,Steak n Shake,104 Magnolia Drive,Georgetown,KY,40324,5028636832,38.2252,-84.5384,traditional,https://orderonline.steaknshake.com/o/restaurant/18369
23581,Steak n Shake,9550 Natural Bridge,St. Louis,MO,63134,3144273277,38.7277,-90.3426,traditional,https://orderonline.steaknshake.com/o/restaurant/18012
23583,Steak n Shake,2221 First Capitol Drive,St. Charles,MO,63301,6367243234,38.7778,-90.5113,traditional,https://orderonline.steaknshake.com/o/restaurant/18014
23585,Steak n Shake,4199 Hacks Cross Road,Memphis,TN,38125,9017553483,35.0359,-89.7958,traditional,https://orderonline.steaknshake.com/o/restaurant/19575
23587,Steak n Shake,10650 Us Hwy 441,Leesburg,FL,34788,3522531190,28.8208,-81.7813,traditional,https://orderonline.steaknshake.com/o/restaurant/18189
23589,Steak n Shake,1300 Lemay Ferry Road,St. Louis,MO,63125,3145440411,38.532,-90.2881,traditional,https://orderonline.steaknshake.com/o/restaurant/18022
23591,Steak n Shake,7606 Manchester,St. Louis,MO,63143,3146451815,38.6127,-90.3266,traditional,https://orderonline.steaknshake.com/o/restaurant/18027
23593,Steak n Shake,10860 Lincoln Trail,Fairview Heights,IL,62208,6183942520,38.5923,-89.9887,traditional,https://orderonline.steaknshake.com/o/restaurant/18029
23595,Steak n Shake,1000 W. International Spdwy. Blvd.,Daytona Beach,FL,32114,3862535283,29.2033,-81.0405,traditional,https://orderonline.steaknshake.com/o/restaurant/18030
23597,Steak n Shake,1610 S.w. 13th Street,Gainesville,FL,32608,3523760588,29.636,-82.3399,traditional,https://orderonline.steaknshake.com/o/restaurant/18035
23599,Steak n Shake,2057 Airport Boulevard,Pensacola,FL,32504,8504732280,30.4762,-87.2045,traditional,https://orderonline.steaknshake.com/o/restaurant/19599
23601,Steak n Shake,1601 Bradley Park Drive,Columbus,GA,31904,7063230267,32.5324,-84.9756,traditional,https://orderonline.steaknshake.com/o/restaurant/19604
23603,Steak n Shake,7929 East Division Street,Evansville,IN,47715,8124751400,37.9767,-87.4813,traditional,https://orderonline.steaknshake.com/o/restaurant/19610
23605,Steak n Shake,1471 North Westwood,Poplar Bluff,MO,63901,5737856111,36.7722,-90.4191,traditional,https://orderonline.steaknshake.com/o/restaurant/19611
23607,Steak n Shake,1066 N. Henderson,Galesburg,IL,61401,3093060238,40.9603,-90.3836,traditional,https://orderonline.steaknshake.com/o/restaurant/17998
23609,Steak n Shake,3489 Court Street,Pekin,IL,61554,3093060215,40.548,-89.6067,traditional,https://orderonline.steaknshake.com/o/restaurant/17999
23611,Steak n Shake,2900 S. Third Street,Terre Haute,IN,47802,8122350242,39.4353,-87.4134,traditional,https://orderonline.steaknshake.com/o/restaurant/18070
23613,Steak n Shake,3810 W. Washington,Indianapolis,IN,46241,3172410483,39.7607,-86.2262,traditional,https://orderonline.steaknshake.com/o/restaurant/18002
23615,Steak n Shake,5360 N. Keystone Ave.,Indianapolis,IN,46220,3172518320,39.8503,-86.122,traditional,https://orderonline.steaknshake.com/o/restaurant/18003
23617,Steak n Shake,4020 S East Street,Indianapolis,IN,46227,3177811525,39.7067,-86.1492,traditional,https://orderonline.steaknshake.com/o/restaurant/18004
23619,Steak n Shake,11040 Pendleton Pike,Indianapolis,IN,46236,3178237380,39.8644,-85.9715,traditional,https://orderonline.steaknshake.com/o/restaurant/18006
23621,Steak n Shake,5036 North Big Hollow Road,Peoria,IL,61615,3096910914,40.7463,-89.632,traditional,https://orderonline.steaknshake.com/o/restaurant/18073
23623,Steak n Shake,1802 S. Veteran&#39;s Parkway,Bloomington,IL,61704,3096619204,40.4594,-88.9757,traditional,https://orderonline.steaknshake.com/o/restaurant/18075
23625,Steak n Shake,5229 Elmore Ave.,Davenport,IA,52807,5633440701,41.5739,-90.526,traditional,https://orderonline.steaknshake.com/o/restaurant/18081
23627,Steak n Shake,3821 41st Avenue Drive,Moline,IL,61265,3097649453,41.4712,-90.4805,traditional,https://orderonline.steaknshake.com/o/restaurant/18082
23629,Steak n Shake,312 N. U.s. 41,Schererville,IN,46375,2193222563,41.5171,-87.471,traditional,https://orderonline.steaknshake.com/o/restaurant/18083
23631,Steak n Shake,2380 Sycamore Road,Dekalb,IL,60115,8157585582,41.9522,-88.7249,traditional,https://orderonline.steaknshake.com/o/restaurant/18084
23633,Steak n Shake,8609 Watson Road,St. Louis,MO,63119,3149611184,38.5652,-90.3596,traditional,https://orderonline.steaknshake.com/o/restaurant/18024
23635,Steak n Shake,4305 Commercial Way,Spring Hill,FL,34606,3525969388,28.4925,-82.5987,traditional,https://orderonline.steaknshake.com/o/restaurant/18168
23637,Steak n Shake,9150 N. Main Street,Dayton,OH,45415,9378320294,39.8561,-84.2755,traditional,https://orderonline.steaknshake.com/o/restaurant/18181
23639,Steak n Shake,290 S. Randall Rd.,Elgin,IL,60123,8477410679,42.0286,-88.34,traditional,https://orderonline.steaknshake.com/o/restaurant/18087
23641,Steak n Shake,1919 N. College,Bloomington,IN,47404,8123318898,39.1829,-86.5351,traditional,https://orderonline.steaknshake.com/o/restaurant/18088
23643,Steak n Shake,443 N. Semoran Blvd.,Winter Park,FL,32792,4076789527,28.6025,-81.307,traditional,https://orderonline.steaknshake.com/o/restaurant/18046
23645,Steak n Shake,2 N. Sagamore Pkwy.,Lafayette,IN,47904,7654476091,40.4179,-86.8586,traditional,https://orderonline.steaknshake.com/o/restaurant/18047
23647,Steak n Shake,8640 Michigan Road,Indianapolis,IN,46268,3178723775,39.9128,-86.2239,traditional,https://orderonline.steaknshake.com/o/restaurant/18051
23649,Steak n Shake,4501 S. Emerson,Indianapolis,IN,46203,3177862184,39.7017,-86.0821,traditional,https://orderonline.steaknshake.com/o/restaurant/18055
23651,Steak n Shake,300 South College Mall Road,Bloomington,IN,47401,8123347775,39.1635,-86.4984,traditional,https://orderonline.steaknshake.com/o/restaurant/18057
23653,Steak n Shake,7960 Us 31 South,Indianapolis,IN,46227,3178889584,39.6504,-86.138,traditional,https://orderonline.steaknshake.com/o/restaurant/18008
23655,Steak n Shake,2103 Pinnacle Parkway,Covington,LA,70433,9858980694,30.4442,-90.1297,traditional,https://orderonline.steaknshake.com/o/restaurant/19618
23657,Steak n Shake,1525 S. Kirkwood Road,Sunset Hills,MO,63127,3142662177,38.5569,-90.4073,traditional,https://orderonline.steaknshake.com/o/restaurant/18052
23659,Steak n Shake,4313 West Vine St.,Kissimmee,FL,34746,4073293221,28.304,-81.4562,traditional,https://orderonline.steaknshake.com/o/restaurant/18150
23661,Steak n Shake,999 Veterans Blvd.,Festus,MO,63028,6369330255,38.2139,-90.4036,traditional,https://orderonline.steaknshake.com/o/restaurant/18058
23663,Steak n Shake,606 North Bluff,Collinsville,IL,62234,6186230004,38.683,-90.0106,traditional,https://orderonline.steaknshake.com/o/restaurant/18060
23665,Steak n Shake,1955 Highway 67 N,Florissant,MO,63033,3148399016,38.8002,-90.316,traditional,https://orderonline.steaknshake.com/o/restaurant/18067
23667,Steak n Shake,5555 Youngstown Warren Rd.,Niles,OH,44446,3305053599,41.2109,-80.7516,traditional,https://orderonline.steaknshake.com/o/restaurant/18286
23669,Steak n Shake,6413 Precinct Line Rd,North Richland Hills,TX,76180,8174983966,32.8632,-97.1866,traditional,https://orderonline.steaknshake.com/o/restaurant/18298
23671,Steak n Shake,9401 Vista Way,Garfield Heights,OH,44125,2165875291,41.4089,-81.6187,traditional,https://orderonline.steaknshake.com/o/restaurant/18371
23673,Steak n Shake,2724 W. Deyoung Street,Marion,IL,62959,6189933939,37.7435,-88.9687,traditional,https://orderonline.steaknshake.com/o/restaurant/18068
23675,Steak n Shake,5131 Hinkleville Road,Paducah,KY,42001,2705754846,37.0777,-88.6843,traditional,https://orderonline.steaknshake.com/o/restaurant/18069
23677,Steak n Shake,1640 E. Tipton Street,Seymour,IN,47274,8125236616,38.9577,-85.8632,traditional,https://orderonline.steaknshake.com/o/restaurant/18120
23679,Steak n Shake,3488 Alpine Ave.,Grand Rapids,MI,49544,6167857082,43.0254,-85.6889,traditional,https://orderonline.steaknshake.com/o/restaurant/18124
23681,Steak n Shake,1779 W. Main,Troy,OH,45373,9373350064,40.0538,-84.2357,traditional,https://orderonline.steaknshake.com/o/restaurant/18125
23683,Steak n Shake,681 Sycamore,Sullivan,MO,63080,5732036260,38.2227,-91.1566,traditional,https://orderonline.steaknshake.com/o/restaurant/18128
23685,Steak n Shake,10625 U.s. Hwy. 36,Avon,IN,46123,3172710402,39.763,-86.3327,traditional,https://orderonline.steaknshake.com/o/restaurant/18129
